(2022-10-13 02:26:36,570) ERROR: scraped_info, 02132: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,572) ERROR: scraped_info, 02135: Timeout when loading URL
(2022-10-13 02:26:36,572) ERROR: scraped_info, 02135: Error when splitting page_source
(2022-10-13 02:26:36,574) ERROR: scraped_info, 02135: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,576) ERROR: scraped_info, 02138: Timeout when loading URL
(2022-10-13 02:26:36,577) ERROR: scraped_info, 02138: Error when splitting page_source
(2022-10-13 02:26:36,578) ERROR: scraped_info, 02138: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,581) ERROR: scraped_info, 02139: Timeout when loading URL
(2022-10-13 02:26:36,581) ERROR: scraped_info, 02139: Error when splitting page_source
(2022-10-13 02:26:36,583) ERROR: scraped_info, 02139: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,586) ERROR: scraped_info, 02141: Timeout when loading URL
(2022-10-13 02:26:36,586) ERROR: scraped_info, 02141: Error when splitting page_source
(2022-10-13 02:26:36,588) ERROR: scraped_info, 02141: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,590) ERROR: scraped_info, 02148: Timeout when loading URL
(2022-10-13 02:26:36,591) ERROR: scraped_info, 02148: Error when splitting page_source
(2022-10-13 02:26:36,592) ERROR: scraped_info, 02148: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,595) ERROR: scraped_info, 02155: Timeout when loading URL
(2022-10-13 02:26:36,595) ERROR: scraped_info, 02155: Error when splitting page_source
(2022-10-13 02:26:36,597) ERROR: scraped_info, 02155: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,600) ERROR: scraped_info, 02156: Timeout when loading URL
(2022-10-13 02:26:36,600) ERROR: scraped_info, 02156: Error when splitting page_source
(2022-10-13 02:26:36,602) ERROR: scraped_info, 02156: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,604) ERROR: scraped_info, 02157: Timeout when loading URL
(2022-10-13 02:26:36,605) ERROR: scraped_info, 02157: Error when splitting page_source
(2022-10-13 02:26:36,606) ERROR: scraped_info, 02157: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,609) ERROR: scraped_info, 02158: Timeout when loading URL
(2022-10-13 02:26:36,609) ERROR: scraped_info, 02158: Error when splitting page_source
(2022-10-13 02:26:36,611) ERROR: scraped_info, 02158: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,613) ERROR: scraped_info, 02159: Timeout when loading URL
(2022-10-13 02:26:36,614) ERROR: scraped_info, 02159: Error when splitting page_source
(2022-10-13 02:26:36,615) ERROR: scraped_info, 02159: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,618) ERROR: scraped_info, 02160: Timeout when loading URL
(2022-10-13 02:26:36,618) ERROR: scraped_info, 02160: Error when splitting page_source
(2022-10-13 02:26:36,621) ERROR: scraped_info, 02160: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,623) ERROR: scraped_info, 02161: Timeout when loading URL
(2022-10-13 02:26:36,624) ERROR: scraped_info, 02161: Error when splitting page_source
(2022-10-13 02:26:36,625) ERROR: scraped_info, 02161: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,628) ERROR: scraped_info, 02162: Timeout when loading URL
(2022-10-13 02:26:36,628) ERROR: scraped_info, 02162: Error when splitting page_source
(2022-10-13 02:26:36,630) ERROR: scraped_info, 02162: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,632) ERROR: scraped_info, 02170: Timeout when loading URL
(2022-10-13 02:26:36,633) ERROR: scraped_info, 02170: Error when splitting page_source
(2022-10-13 02:26:36,634) ERROR: scraped_info, 02170: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,637) ERROR: scraped_info, 02180: Timeout when loading URL
(2022-10-13 02:26:36,637) ERROR: scraped_info, 02180: Error when splitting page_source
(2022-10-13 02:26:36,639) ERROR: scraped_info, 02180: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,641) ERROR: scraped_info, 02182: Timeout when loading URL
(2022-10-13 02:26:36,642) ERROR: scraped_info, 02182: Error when splitting page_source
(2022-10-13 02:26:36,643) ERROR: scraped_info, 02182: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,646) ERROR: scraped_info, 02191: Timeout when loading URL
(2022-10-13 02:26:36,646) ERROR: scraped_info, 02191: Error when splitting page_source
(2022-10-13 02:26:36,648) ERROR: scraped_info, 02191: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,650) ERROR: scraped_info, 02192: Timeout when loading URL
(2022-10-13 02:26:36,650) ERROR: scraped_info, 02192: Error when splitting page_source
(2022-10-13 02:26:36,652) ERROR: scraped_info, 02192: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,654) ERROR: scraped_info, 02193: Timeout when loading URL
