"filename", "language", "Python", "JSON", "CSV", "HTML", "JavaScript", "CSS", "Draw.io", "Ini", "XML", "comment", "blank", "total"
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\search.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\assets\brand\DTU_logo_white.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 2, 33
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\assets\brand\bootstrap-logo-white.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\assets\brand\bootstrap-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\assets\dist\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 2, 0, 0, 0, 5, 0, 7
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\assets\dist\css\bootstrap.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 2, 0, 0, 0, 5, 0, 7
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\assets\dist\css\gradegraph.css", "CSS", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 106
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\assets\dist\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\assets\dist\js\gradegraph.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\csv_files\course_df.csv", "CSV", 0, 0, 1687, 0, 0, 0, 0, 0, 0, 0, 1, 1688
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\csv_files\extended_csv.csv", "CSV", 0, 0, 1687, 0, 0, 0, 0, 0, 0, 0, 1, 1688
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\navbar.css", "CSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_ects.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_english_names.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_eval_feedback.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_eval_learning.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_eval_motivation.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_exam.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_fail.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_grade.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_language.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_numbers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_rating.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_rating_tier.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_responsible.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_schedule.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_season.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_signups.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_type.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_votes.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_workload.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\course_workload_tier.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\static\pandas_df\json_filter_dct.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\templates\404_empty_search.html", "HTML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 1, 9
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\templates\404_invalid_course.html", "HTML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 2, 13
